COUNTY,STATE,periodName,year,unemployment_rate
Anderson,TN,December,2018,3.2
Bedford,TN,December,2018,3.2
Benton,TN,December,2018,3.8
Bledsoe,TN,December,2018,5.4
Blount,TN,December,2018,2.8
Bradley,TN,December,2018,2.9
Campbell,TN,December,2018,4.3
Cannon,TN,December,2018,2.7
Carroll,TN,December,2018,4.4
Carter,TN,December,2018,3.7
Cheatham,TN,December,2018,2.4
Chester,TN,December,2018,3.0
Claiborne,TN,December,2018,3.9
Clay,TN,December,2018,4.9
Cocke,TN,December,2018,3.9
Coffee,TN,December,2018,2.9
Crockett,TN,December,2018,3.2
Cumberland,TN,December,2018,4.4
Davidson,TN,December,2018,2.3
Decatur,TN,December,2018,4.0
Dekalb,TN,December,2018,3.9
Dickson,TN,December,2018,2.5
Dyer,TN,December,2018,4.2
Fayette,TN,December,2018,3.3
Fentress,TN,December,2018,4.0
Franklin,TN,December,2018,3.2
Gibson,TN,December,2018,3.2
Giles,TN,December,2018,3.8
Grainger,TN,December,2018,5.4
Greene,TN,December,2018,2.8
Grundy,TN,December,2018,2.9
Hamblen,TN,December,2018,4.3
Hamilton,TN,December,2018,2.7
Hancock,TN,December,2018,4.4
Hardeman,TN,December,2018,3.7
Hardin,TN,December,2018,2.4
Hawkins,TN,December,2018,3.0
Haywood,TN,December,2018,3.9
Henderson,TN,December,2018,4.9
Henry,TN,December,2018,3.9
Hickman,TN,December,2018,2.9
Houston,TN,December,2018,3.2
Humphreys,TN,December,2018,4.4
Jackson,TN,December,2018,2.3
Jefferson,TN,December,2018,4.0
Johnson,TN,December,2018,3.9
Knox,TN,December,2018,2.5
Lake,TN,December,2018,4.2
Lauderdale,TN,December,2018,3.3
Lawrence,TN,December,2018,4.0
Lewis,TN,December,2018,3.2
Lincoln,TN,December,2018,3.2
Loudon,TN,December,2018,3.8
McMinn,TN,December,2018,5.4
McNairy,TN,December,2018,2.8
Macon,TN,December,2018,2.9
Madison,TN,December,2018,4.3
Marion,TN,December,2018,2.7
Marshall,TN,December,2018,4.4
Maury,TN,December,2018,3.7
Meigs,TN,December,2018,2.4
Monroe,TN,December,2018,3.0
Montgomery,TN,December,2018,3.9
Moore,TN,December,2018,4.9
Morgan,TN,December,2018,3.9
Obion,TN,December,2018,2.9
Overton,TN,December,2018,3.2
Perry,TN,December,2018,4.4
Pickett,TN,December,2018,2.3
Polk,TN,December,2018,4.0
Putnam,TN,December,2018,3.9
Rhea,TN,December,2018,2.5
Roane,TN,December,2018,4.2
Robertson,TN,December,2018,3.3
Rutherford,TN,December,2018,4.0
Scott,TN,December,2018,3.2
Sequatchie,TN,December,2018,3.2
Sevier,TN,December,2018,3.8
Shelby,TN,December,2018,5.4
Smith,TN,December,2018,2.8
Stewart,TN,December,2018,2.9
Sullivan,TN,December,2018,4.3
Sumner,TN,December,2018,2.7
Tipton,TN,December,2018,4.4
Trousdale,TN,December,2018,3.7
Unicoi,TN,December,2018,2.4
Union,TN,December,2018,3.0
Van_Buren,TN,December,2018,3.9
Warren,TN,December,2018,4.9
Washington,TN,December,2018,3.9
Wayne,TN,December,2018,2.9
Weakley,TN,December,2018,3.2
White,TN,December,2018,4.4
Williamson,TN,December,2018,2.3
Wilson,TN,December,2018,4.0
